cluster_id,skill,skill_n_in_cluster,cluster_n_jobs,skill_share_in_cluster,skill_n_overall,total_clustered_jobs,skill_share_overall,lift
1,Data Science,4,55,7.3,151,709,21.3,0.34
1,Machine Learning,4,55,7.3,219,709,30.9,0.24
1,Python,4,55,7.3,313,709,44.1,0.16
1,Database,3,55,5.5,202,709,28.5,0.19
1,Business Analysis,2,55,3.6,124,709,17.5,0.21
1,Google Sheets,1,55,1.8,19,709,2.7,0.68
1,Data Mining,1,55,1.8,21,709,3.0,0.61
1,MySQL,1,55,1.8,45,709,6.3,0.29
1,ERP,1,55,1.8,58,709,8.2,0.22
1,SQL Server,1,55,1.8,58,709,8.2,0.22
1,Deep Learning,1,55,1.8,64,709,9.0,0.2
1,Agile,1,55,1.8,72,709,10.2,0.18
1,Data Engineering,1,55,1.8,100,709,14.1,0.13
1,Big Data,1,55,1.8,108,709,15.2,0.12
1,ETL,1,55,1.8,128,709,18.1,0.1
1,API,1,55,1.8,139,709,19.6,0.09
1,Data Warehouse,1,55,1.8,141,709,19.9,0.09
1,Power BI,1,55,1.8,176,709,24.8,0.07
2,Excel,78,78,100.0,105,709,14.8,6.75
2,Data Analysis,57,78,73.1,285,709,40.2,1.82
2,Reporting,54,78,69.2,276,709,38.9,1.78
2,Power BI,46,78,59.0,176,709,24.8,2.38
2,SQL,44,78,56.4,344,709,48.5,1.16
2,English,30,78,38.5,243,709,34.3,1.12
2,Python,20,78,25.6,313,709,44.1,0.58
2,Data Management,19,78,24.4,201,709,28.3,0.86
2,Tableau,18,78,23.1,92,709,13.0,1.78
2,Statistics,17,78,21.8,117,709,16.5,1.32
2,Business Analysis,15,78,19.2,124,709,17.5,1.1
2,Google Sheets,14,78,17.9,19,709,2.7,6.7
2,Database,13,78,16.7,202,709,28.5,0.58
2,Business Intelligence,12,78,15.4,57,709,8.0,1.91
2,Data Visualization,12,78,15.4,77,709,10.9,1.42
2,Looker,7,78,9.0,37,709,5.2,1.72
2,ERP,7,78,9.0,58,709,8.2,1.1
2,Data Quality,7,78,9.0,115,709,16.2,0.55
2,Big Data,6,78,7.7,108,709,15.2,0.5
2,Data Science,6,78,7.7,151,709,21.3,0.36
2,Data Governance,4,78,5.1,77,709,10.9,0.47
2,Data Modeling,4,78,5.1,85,709,12.0,0.43
2,Data Pipeline,4,78,5.1,93,709,13.1,0.39
2,Data Engineering,4,78,5.1,100,709,14.1,0.36
2,ETL,4,78,5.1,128,709,18.1,0.28
2,AI,3,78,3.8,147,709,20.7,0.19
2,Machine Learning,3,78,3.8,219,709,30.9,0.12
2,BigQuery,2,78,2.6,34,709,4.8,0.53
2,SQL Server,2,78,2.6,58,709,8.2,0.31
2,Data Lake,2,78,2.6,67,709,9.4,0.27
2,Data Warehouse,2,78,2.6,141,709,19.9,0.13
2,Elasticsearch,1,78,1.3,15,709,2.1,0.61
2,A/B Testing,1,78,1.3,19,709,2.7,0.48
2,Data Mining,1,78,1.3,21,709,3.0,0.43
2,dbt,1,78,1.3,36,709,5.1,0.25
2,MySQL,1,78,1.3,45,709,6.3,0.2
2,ELT,1,78,1.3,63,709,8.9,0.14
2,PostgreSQL,1,78,1.3,66,709,9.3,0.14
2,Agile,1,78,1.3,72,709,10.2,0.13
2,Spark,1,78,1.3,79,709,11.1,0.12
2,Azure,1,78,1.3,95,709,13.4,0.1
2,AWS,1,78,1.3,115,709,16.2,0.08
2,LLM,1,78,1.3,118,709,16.6,0.08
